Malayalam,English
ഒരു,Oru (A)
ഞാന്,Njanu (I am)
റെ,Re
നീ,Nee (You)
ഞാൻ,Njaan (I)
അത്,Athu (That)
എനിക്ക്,enikku (for me)
നിങ്ങള്,Ningalu (You)
ഇത്,Ithu (This one)
എന്റെ,ente (mine)
ഇവിടെ,evide (here)
നിനക്ക്,ninakku (to you)
എന്നെ,enne (me)
തന്നെ,thanne (the same)
പക്ഷെ,pakshe (but)
അവര്,avaru (they are)
എന്താ,enthaa? (what?)
ഇല്ല,illa (no)
നിങ്ങളുടെ,ningalude (your)
അതെ,athe (yes)
അവന്,avanu (he)
എന്ന് ,ennu (that)
പിന്നെ,pinne (and then)
നിന്നെ,ninne (you)
നമുക്ക്,namukku (for us)
ശരി,shari (ok)
എന്ത് ,enthu (what)
ആണ്,aanu(is)
നിന്റെ,ninte (your)
വളരെ,valare (very)
നിങ്ങൾ,ningal(you are)
ഞങ്ങള്,njangalu (we)
നല്ലതു,nallathu (good)
നമ്മള്,nammalu (we)
പക്ഷേ,pakshe (but)
അവിടെ,avide (there)
കൊണ്ട്,kondu (with)
എല്ലാം,allam (everything)
അല്ല,alla (no)
നമ്മുടെ,nammude (our)
പോലെ,pole (like)
പോയി,poyi (gone)
അവള്,avalu (she)
വേണ്ട ,venda (no)
വാ,vaa (come)
നിന്ന്,ninnu (from)
നന്ദി ,nandi (thanks)
ഒന്നും,onnum (nothing)
അയാള്,ayaalu (he)
ഉണ്ട്,undu (there is)
ഇനി,eni (now)
ഒന്ന്,onnu (one)
എന്താണ്,enthaanu (what)
കാര്യം,kaaryam (thing)
പറഞ്ഞു,paranju (said)
നിങ്ങളെ,ningale (you)
പറഞ്ഞത്,paranjathu (said)
വേണ്ടി,vendi (for)
അവനെ,avane (him)
കൂടെ,koode (with)
പറയുന്നത്,parayunnathu (saying)
നിര്,niru (nir)
എല്ലാ,alla (all)
നില്,nilu (stand)
ഇപ്പോള്,eppolu (just now)
വരൂ,varoo (come on)
നിന്നും,ninnum (from)
നോക്ക്,nokku (look)
അങ്ങനെ,angane (so)
കാരണം,kaaranam (reason)
ഓ,oaa (oh)
എന്തെങ്കിലും,enthengilum (something)
അവരുടെ,avarude (their)
വേണം,venam (should)
അവൻ ,avan (he)
ഹേയ്,hey (hey)
അവർ ,avar (they)
എന്നോട്,ennodu (to me)
വലിയ,valiya (big)
അദ്ദേഹം,adheham (he)
പേര്,peru (name)
വേഗം,vegam (hurry up)
നമ്മൾ,nammal (we)
കുറച്ച്,kurachu (a few)
അവരെ,avare (them)
കൂടി,koodi (also)
ശരിക്കും,sharikkum (really)
എവിടെ,evide (where)
സ്,s (s)
മാത്രം,maathram (only)
തോന്നുന്നു ,thonnunnu (it seems)
സര്,saaru (sir)
ക്കും,kkum(to)
പോ,po (go)
വര്,varu (mr)